"queryDate","timeZone","underlying","symbol","expiryDate","strikePrice","side","interval","openTimeUtc","openTimeLocal","open","high","low","close","volume","closeTimeUtc","closeTimeLocal","quoteVolume","numberOfTrades","takerBuyVolume","takerBuyQuoteVolume"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 08:15:00","2026-08-20 16:15:00","50.000","50.000","50.000","50.000","0.02","2026-08-20 08:29:59","2026-08-20 16:29:59","1.00000","1","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 08:30:00","2026-08-20 16:30:00","50.000","50.000","45.000","45.000","0.85","2026-08-20 08:44:59","2026-08-20 16:44:59","39.80000","3","0.31","15.50000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 08:45:00","2026-08-20 16:45:00","45.000","50.000","40.000","50.000","2.13","2026-08-20 08:59:59","2026-08-20 16:59:59","99.45000","3","2.08","97.45000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 09:00:00","2026-08-20 17:00:00","50.000","50.000","50.000","50.000","0.00","2026-08-20 09:14:59","2026-08-20 17:14:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 09:15:00","2026-08-20 17:15:00","50.000","50.000","50.000","50.000","0.00","2026-08-20 09:29:59","2026-08-20 17:29:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 09:30:00","2026-08-20 17:30:00","50.000","50.000","50.000","50.000","0.00","2026-08-20 09:44:59","2026-08-20 17:44:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 09:45:00","2026-08-20 17:45:00","40.000","40.000","40.000","40.000","0.01","2026-08-20 09:59:59","2026-08-20 17:59:59","0.40000","1","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 10:00:00","2026-08-20 18:00:00","40.000","40.000","40.000","40.000","0.00","2026-08-20 10:14:59","2026-08-20 18:14:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 10:15:00","2026-08-20 18:15:00","30.000","30.000","30.000","30.000","3.24","2026-08-20 10:29:59","2026-08-20 18:29:59","97.20000","9","3.24","97.20000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 10:30:00","2026-08-20 18:30:00","30.000","30.000","30.000","30.000","0.07","2026-08-20 10:44:59","2026-08-20 18:44:59","2.10000","1","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 10:45:00","2026-08-20 18:45:00","30.000","30.000","30.000","30.000","0.01","2026-08-20 10:59:59","2026-08-20 18:59:59","0.30000","1","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 11:00:00","2026-08-20 19:00:00","30.000","30.000","30.000","30.000","0.00","2026-08-20 11:14:59","2026-08-20 19:14:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 11:15:00","2026-08-20 19:15:00","35.000","40.000","35.000","40.000","0.02","2026-08-20 11:29:59","2026-08-20 19:29:59","0.75000","2","0.02","0.75000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 11:30:00","2026-08-20 19:30:00","30.000","30.000","30.000","30.000","0.82","2026-08-20 11:44:59","2026-08-20 19:44:59","24.60000","2","0.01","0.30000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 11:45:00","2026-08-20 19:45:00","40.000","40.000","40.000","40.000","0.01","2026-08-20 11:59:59","2026-08-20 19:59:59","0.40000","1","0.01","0.40000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 12:00:00","2026-08-20 20:00:00","40.000","40.000","40.000","40.000","0.00","2026-08-20 12:14:59","2026-08-20 20:14:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 12:15:00","2026-08-20 20:15:00","40.000","40.000","40.000","40.000","0.00","2026-08-20 12:29:59","2026-08-20 20:29:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 12:30:00","2026-08-20 20:30:00","45.000","45.000","45.000","45.000","0.13","2026-08-20 12:44:59","2026-08-20 20:44:59","5.85000","2","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 12:45:00","2026-08-20 20:45:00","45.000","45.000","45.000","45.000","0.00","2026-08-20 12:59:59","2026-08-20 20:59:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 13:00:00","2026-08-20 21:00:00","45.000","45.000","45.000","45.000","0.00","2026-08-20 13:14:59","2026-08-20 21:14:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 13:15:00","2026-08-20 21:15:00","35.000","35.000","35.000","35.000","0.49","2026-08-20 13:29:59","2026-08-20 21:29:59","17.15000","1","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 13:30:00","2026-08-20 21:30:00","40.000","40.000","40.000","40.000","0.16","2026-08-20 13:44:59","2026-08-20 21:44:59","6.40000","1","0.16","6.40000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 13:45:00","2026-08-20 21:45:00","40.000","40.000","30.000","30.000","0.65","2026-08-20 13:59:59","2026-08-20 21:59:59","20.75000","3","0.05","2.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 14:00:00","2026-08-20 22:00:00","30.000","30.000","30.000","30.000","0.00","2026-08-20 14:14:59","2026-08-20 22:14:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 14:15:00","2026-08-20 22:15:00","30.000","30.000","30.000","30.000","0.00","2026-08-20 14:29:59","2026-08-20 22:29:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 14:30:00","2026-08-20 22:30:00","30.000","30.000","30.000","30.000","0.00","2026-08-20 14:44:59","2026-08-20 22:44:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 14:45:00","2026-08-20 22:45:00","25.000","25.000","25.000","25.000","0.90","2026-08-20 14:59:59","2026-08-20 22:59:59","22.50000","1","0.90","22.50000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 15:00:00","2026-08-20 23:00:00","25.000","25.000","25.000","25.000","0.00","2026-08-20 15:14:59","2026-08-20 23:14:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 15:15:00","2026-08-20 23:15:00","25.000","25.000","25.000","25.000","0.00","2026-08-20 15:29:59","2026-08-20 23:29:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 15:30:00","2026-08-20 23:30:00","25.000","25.000","25.000","25.000","0.09","2026-08-20 15:44:59","2026-08-20 23:44:59","2.25000","1","0.09","2.25000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 15:45:00","2026-08-20 23:45:00","20.000","20.000","20.000","20.000","0.03","2026-08-20 15:59:59","2026-08-20 23:59:59","0.60000","1","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 16:00:00","2026-08-21 00:00:00","20.000","20.000","20.000","20.000","0.00","2026-08-20 16:14:59","2026-08-21 00:14:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 16:15:00","2026-08-21 00:15:00","20.000","20.000","20.000","20.000","0.00","2026-08-20 16:29:59","2026-08-21 00:29:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 16:30:00","2026-08-21 00:30:00","20.000","20.000","20.000","20.000","0.01","2026-08-20 16:44:59","2026-08-21 00:44:59","0.20000","1","0.01","0.20000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 16:45:00","2026-08-21 00:45:00","20.000","20.000","20.000","20.000","0.00","2026-08-20 16:59:59","2026-08-21 00:59:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 17:00:00","2026-08-21 01:00:00","20.000","20.000","20.000","20.000","0.00","2026-08-20 17:14:59","2026-08-21 01:14:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 17:15:00","2026-08-21 01:15:00","15.000","15.000","15.000","15.000","0.10","2026-08-20 17:29:59","2026-08-21 01:29:59","1.50000","1","0.10","1.50000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 17:30:00","2026-08-21 01:30:00","15.000","15.000","15.000","15.000","0.00","2026-08-20 17:44:59","2026-08-21 01:44:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 17:45:00","2026-08-21 01:45:00","15.000","15.000","15.000","15.000","0.00","2026-08-20 17:59:59","2026-08-21 01:59:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 18:00:00","2026-08-21 02:00:00","15.000","15.000","15.000","15.000","0.08","2026-08-20 18:14:59","2026-08-21 02:14:59","1.20000","1","0.08","1.20000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260823-66000-P","2026-08-23","66000","PUT","15m","2026-08-20 18:15:00","2026-08-21 02:15:00","15.000","15.000","15.000","15.000","0.00","2026-08-20 18:29:59","2026-08-21 02:29:59","0.00000","0","0.00","0.00000"
