"queryDate","timeZone","underlying","symbol","expiryDate","strikePrice","side","interval","openTimeUtc","openTimeLocal","open","high","low","close","volume","closeTimeUtc","closeTimeLocal","quoteVolume","numberOfTrades","takerBuyVolume","takerBuyQuoteVolume"
"all-available","Asia/Taipei","BTCUSDT","BTC-260629-57000-C","2026-06-29","57000","CALL","1h","2026-06-28 16:00:00","2026-06-29 00:00:00","2810.000","2810.000","2810.000","2810.000","0.01","2026-06-28 16:59:59","2026-06-29 00:59:59","28.10000","1","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260629-57000-C","2026-06-29","57000","CALL","1h","2026-06-28 17:00:00","2026-06-29 01:00:00","2810.000","2810.000","2810.000","2810.000","0.00","2026-06-28 17:59:59","2026-06-29 01:59:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260629-57000-C","2026-06-29","57000","CALL","1h","2026-06-28 18:00:00","2026-06-29 02:00:00","2810.000","2810.000","2810.000","2810.000","0.00","2026-06-28 18:59:59","2026-06-29 02:59:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260629-57000-C","2026-06-29","57000","CALL","1h","2026-06-28 19:00:00","2026-06-29 03:00:00","2810.000","2810.000","2810.000","2810.000","0.00","2026-06-28 19:59:59","2026-06-29 03:59:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260629-57000-C","2026-06-29","57000","CALL","1h","2026-06-28 20:00:00","2026-06-29 04:00:00","2810.000","2810.000","2810.000","2810.000","0.00","2026-06-28 20:59:59","2026-06-29 04:59:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260629-57000-C","2026-06-29","57000","CALL","1h","2026-06-28 21:00:00","2026-06-29 05:00:00","2810.000","2810.000","2810.000","2810.000","0.00","2026-06-28 21:59:59","2026-06-29 05:59:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260629-57000-C","2026-06-29","57000","CALL","1h","2026-06-28 22:00:00","2026-06-29 06:00:00","2810.000","2810.000","2810.000","2810.000","0.00","2026-06-28 22:59:59","2026-06-29 06:59:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260629-57000-C","2026-06-29","57000","CALL","1h","2026-06-28 23:00:00","2026-06-29 07:00:00","2810.000","2810.000","2810.000","2810.000","0.00","2026-06-28 23:59:59","2026-06-29 07:59:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260629-57000-C","2026-06-29","57000","CALL","1h","2026-06-29 00:00:00","2026-06-29 08:00:00","2810.000","2810.000","2810.000","2810.000","0.00","2026-06-29 00:59:59","2026-06-29 08:59:59","0.00000","0","0.00","0.00000"
"all-available","Asia/Taipei","BTCUSDT","BTC-260629-57000-C","2026-06-29","57000","CALL","1h","2026-06-29 01:00:00","2026-06-29 09:00:00","2810.000","2810.000","2810.000","2810.000","0.00","2026-06-29 01:59:59","2026-06-29 09:59:59","0.00000","0","0.00","0.00000"
